14.model,,,,
Purpose:Specific models of assets with detailed specifications and technical information,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for model
brand_id,FK NOT NULL,INT,1-M,Brand ID (Foreign Key referencing brand.id)
asset_type_id,FK NOT NULL,INT,1-M,Asset type ID (Foreign Key referencing asset_type.id)
name,NOT NULL,VARCHAR(100),,Model name (MacBook Pro 16 Dell XPS 13 etc.)
specifications,NULL,JSONB,,Technical specifications in JSON format
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Model status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
