12.asset_type,,,,
Purpose:Specific types of assets within categories with depreciation and lifecycle information,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for asset type
category_id,FK NOT NULL,INT,1-M,Category ID (Foreign Key referencing asset_category.id)
name,NOT NULL,VARCHAR(50),,Type name (Laptop Monitor Mobile etc.)
description,NULL,TEXT,,Type description
depreciation_rate,NULL,DECIMAL(5,2),,Annual depreciation rate percentage
useful_life_years,NULL,INT,,Expected useful life in years
is_active,NOT NULL DEFAULT TRUE,BOOLEAN,,Type status
created_by,FK NOT NULL,INT,1-M,User ID who created this record (Foreign Key referencing user.id)
created_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was created
updated_by,FK NOT NULL,INT,1-M,User ID who last updated this record (Foreign Key referencing user.id)
updated_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when record was last updated
