8.audit_log,,,,
Purpose:Comprehensive audit trail for all system changes tracking who did what when and from where,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for audit log entry
table_name,NOT NULL,VARCHAR(50),,Name of the table that was modified
record_id,NOT NULL,INT,,ID of the record that was modified
action,NOT NULL,VARCHAR(20),,Action performed: INSERT UPDATE DELETE
old_values,NULL,JSONB,,Previous values (for UPDATE and DELETE)
new_values,NULL,JSONB,,New values (for INSERT and UPDATE)
changed_fields,NULL,TEXT[],,Array of field names that changed
user_id,FK NOT NULL,INT,1-M,User who performed the action (Foreign Key referencing user.id)
ip_address,NULL,INET,,IP address of the user
user_agent,NULL,TEXT,,Browser/application user agent
session_id,NULL,VARCHAR(255),,Session identifier
timestamp,DEFAULT NOW(),TIMESTAMPTZ,,When the action was performed 
