25.file_attachment,,,,
Purpose:File attachments for assets maintenance records and other entities with metadata,,,,
,,,,
column name,constraint,data_type,relation_type,Description
id,PK,SERIAL,,Unique identifier for file attachment
related_table,NOT NULL,VARCHAR(50),,Table name this file is attached to
related_id,NOT NULL,INT,,Record ID this file is attached to
file_name,NOT NULL,VARCHAR(255),,Original file name
file_path,NOT NULL,VARCHAR(500),,File storage path
file_size,NOT NULL,BIGINT,,File size in bytes
mime_type,NOT NULL,VARCHAR(100),,MIME type of the file
file_hash,NULL,VARCHAR(64),,SHA-256 hash of file content
description,NULL,TEXT,,File description
uploaded_by,FK NOT NULL,INT,1-M,User who uploaded the file (Foreign Key referencing user.id)
uploaded_at,DEFAULT NOW(),TIMESTAMPTZ,,Timestamp when file was uploaded
